,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_home,games_against_away,home_team_overall_rating,away_team_overall_rating,odds_home,odds_draw,odds_away
16754,3.0,-3.0,4.0,2.0,2.0,0.0,738.0,711.0,0.4371423597033755,0.2856514568845101,0.27720618341211445
16756,8.0,-8.0,6.0,2.0,1.0,0.0,672.0,683.0,0.48675317920503386,0.27233358925588635,0.24091323153907968
16762,5.0,6.0,5.0,5.0,1.0,1.0,761.0,705.0,0.4711553132046108,0.28005184390351534,0.24879284289187398
16763,-4.0,-3.0,2.0,4.0,0.0,0.0,647.0,670.0,0.33438050069103686,0.2932422631108632,0.37237723619809987
16764,-4.0,5.0,1.0,5.0,1.0,0.0,713.0,672.0,0.3729561335669422,0.28819602883395457,0.3388478375991032
16766,-2.0,-4.0,3.0,4.0,2.0,0.0,702.0,699.0,0.4264906633303996,0.28750719210602804,0.28600214456357237
16767,7.0,3.0,6.0,3.0,0.0,1.0,676.0,700.0,0.34912154979201127,0.2904809866470119,0.3603974635609769
16769,-1.0,4.0,3.0,4.0,2.0,1.0,673.0,709.0,0.36623408757565146,0.2901074740465037,0.34365843837784477
16771,-5.0,-10.0,3.0,2.0,1.0,1.0,699.0,655.0,0.5618319145810252,0.2518690066334523,0.1862990787855225
16776,-7.0,-6.0,3.0,2.0,1.0,1.0,692.0,696.0,0.44180469793685545,0.2838006227484049,0.2743946793147397
16778,-2.0,-3.0,3.0,3.0,1.0,0.0,742.0,672.0,0.4880063066762982,0.27602501410082425,0.23596867922287762
16780,6.0,-1.0,5.0,3.0,1.0,1.0,681.0,696.0,0.49103056411105417,0.2708508261282191,0.23811860976072677
16781,1.0,24.0,3.0,9.0,1.0,1.0,683.0,803.0,0.16108033680653072,0.2327743905232728,0.6061452726701965
16787,-8.0,0.0,3.0,4.0,0.0,0.0,696.0,697.0,0.4520248010682167,0.28145396760916175,0.2665212313226216
16798,-6.0,-5.0,3.0,2.0,2.0,1.0,718.0,705.0,0.46670747445863964,0.27553319278191873,0.25775933275944163
16800,2.0,-7.0,3.0,3.0,1.0,0.0,696.0,699.0,0.3353012266687474,0.2909534576144703,0.3737453157167824
16804,-12.0,2.0,0.0,4.0,0.0,2.0,674.0,689.0,0.2466994147780603,0.2821313611027543,0.47116922411918544
16805,-2.0,2.0,2.0,3.0,1.0,1.0,705.0,684.0,0.40860190760660775,0.2892564755520201,0.3021416168413722
16806,6.0,-6.0,4.0,3.0,1.0,1.0,699.0,714.0,0.3828637351862799,0.284539664734857,0.3325966000788631
16810,-2.0,-2.0,4.0,2.0,1.0,1.0,705.0,671.0,0.47296809760244385,0.2868887316148083,0.2401431707827478
16812,0.0,19.0,0.0,7.0,0.0,0.0,669.0,792.0,0.14912031465818174,0.2383520260329012,0.6125276593089172
16814,-4.0,2.0,3.0,5.0,0.0,3.0,708.0,729.0,0.359056768826323,0.2905522077146976,0.35039102345897943
16815,-8.0,3.0,1.0,3.0,0.0,2.0,675.0,699.0,0.2538300235037002,0.2753061825134437,0.4708637939828561
16816,-1.0,-9.0,2.0,2.0,0.0,1.0,705.0,695.0,0.3673865654673616,0.29218386946023894,0.34042956507239946
16818,-2.0,-5.0,3.0,3.0,1.0,1.0,696.0,699.0,0.3510305354055844,0.290858069069475,0.3581113955249407
16820,-5.0,-6.0,3.0,1.0,2.0,0.0,704.0,676.0,0.5690995031454598,0.24633387630446787,0.18456662055007214
16823,0.0,-3.0,3.0,2.0,1.0,1.0,697.0,697.0,0.40658493553479336,0.29051906114895215,0.30289600331625444
16829,4.0,-4.0,5.0,3.0,0.0,1.0,706.0,692.0,0.3716194315799255,0.28921454999563834,0.3391660184244362
16830,-2.0,16.0,3.0,7.0,0.0,3.0,697.0,800.0,0.1484232045807787,0.2248527356957521,0.6267240597234693
16834,2.0,3.0,4.0,4.0,0.0,0.0,701.0,699.0,0.39515242806044115,0.2859675416496437,0.31888003028991513
16836,6.0,-3.0,6.0,2.0,0.0,1.0,737.0,696.0,0.4721497248658576,0.2802961779803419,0.24755409715380047
16841,4.0,3.0,4.0,4.0,1.0,1.0,696.0,690.0,0.41328196644301374,0.28921742588425825,0.297500607672728
16850,-2.0,-1.0,4.0,3.0,0.0,2.0,668.0,695.0,0.28480595265319125,0.287654134743753,0.4275399126030558
16854,-5.0,1.0,1.0,3.0,0.0,0.0,682.0,696.0,0.34995077723462065,0.29409797324732134,0.355951249518058
16857,1.0,1.0,3.0,4.0,1.0,2.0,693.0,679.0,0.4282077096319269,0.29041742578241947,0.2813748645856537
16866,0.0,3.0,3.0,4.0,1.0,0.0,709.0,701.0,0.47584312382196836,0.2833591569624268,0.24079771921560478
16867,20.0,1.0,7.0,4.0,2.0,0.0,762.0,698.0,0.6945578171908651,0.20664712371453758,0.13386192100664965
16869,1.0,-4.0,1.0,4.0,0.0,0.0,646.0,686.0,0.4370754008129568,0.29344512281418766,0.2694794763728555
16870,-17.0,5.0,1.0,6.0,0.0,2.0,722.0,733.0,0.2737437320082964,0.2875271323813993,0.43872913561030435
16873,2.0,1.0,5.0,1.0,0.0,0.0,729.0,665.0,0.5428521383741235,0.2625323150137092,0.19461554661216734
16879,3.0,-5.0,5.0,2.0,1.0,1.0,684.0,673.0,0.43691617613090344,0.28693909884833835,0.27614472502075815
16895,0.0,-6.0,0.0,2.0,0.0,0.0,666.0,692.0,0.35158182349206546,0.3231303210797683,0.3954215792522707
16898,-5.0,16.0,5.0,8.0,1.0,1.0,683.0,774.0,0.2098810001987057,0.2674395057308171,0.5928132178945817
16910,15.0,4.0,8.0,4.0,3.0,0.0,770.0,704.0,0.6149616780350763,0.2582222989351085,0.19694974685391978
16923,-9.0,-10.0,2.0,3.0,1.0,1.0,683.0,671.0,0.42653448361961954,0.32344435238844255,0.3201548878160425
16930,-3.0,4.0,4.0,6.0,1.0,1.0,678.0,709.0,0.3156977543740318,0.3199804674249368,0.4344555020251362
16938,-4.0,4.0,4.0,4.0,2.0,1.0,665.0,706.0,0.36055281343132595,0.3209961137562636,0.38858479663651513
16944,-15.0,2.0,1.0,5.0,1.0,0.0,663.0,697.0,0.33342549619143724,0.32087262524806703,0.41583560238460027
16953,1.0,-16.0,5.0,1.0,2.0,1.0,679.0,677.0,0.5159143267351214,0.30208686230254556,0.2521325347864378
16957,-6.0,-1.0,2.0,4.0,0.0,2.0,682.0,691.0,0.3391047505565349,0.3268959765505661,0.40413299671700365
16965,11.0,-1.0,6.0,4.0,1.0,1.0,709.0,682.0,0.46986368406178014,0.313248081372887,0.28702195838943745
16974,2.0,7.0,4.0,5.0,1.0,1.0,700.0,696.0,0.3932918832430163,0.32219834448561313,0.3546434960954751
16975,-14.0,-8.0,2.0,2.0,1.0,0.0,664.0,671.0,0.443275886698442,0.3165718326516285,0.310286004474034
16980,-15.0,-5.0,1.0,4.0,0.0,1.0,661.0,652.0,0.40172848765990576,0.32287116870391586,0.34553406746028303
16982,0.0,-13.0,4.0,1.0,2.0,1.0,709.0,668.0,0.607814471918814,0.26396162628646014,0.19835762561883036
16986,4.0,5.0,7.0,7.0,2.0,0.0,708.0,713.0,0.36548473236740964,0.32780693939235495,0.3768420520643401
16988,-7.0,-11.0,3.0,1.0,1.0,1.0,683.0,665.0,0.4073270955554464,0.32325632122286463,0.3395503070457937
16991,-2.0,-2.0,5.0,3.0,3.0,0.0,644.0,671.0,0.418681409741209,0.3242536907123289,0.3271986233705667
16992,-8.0,0.0,1.0,4.0,0.0,1.0,656.0,701.0,0.3175423836953268,0.3188809029447498,0.43371043718402813
16996,-1.0,-10.0,3.0,2.0,3.0,0.0,704.0,664.0,0.583755472878192,0.2709025637217047,0.21547568722420793
17006,-1.0,-3.0,4.0,2.0,0.0,1.0,674.0,659.0,0.4047664565101864,0.32349684109901755,0.3418704262149008
17009,-7.0,2.0,2.0,5.0,2.0,0.0,674.0,714.0,0.23762728483095036,0.28492605833203805,0.5475803806611161
17015,2.0,2.0,1.0,4.0,0.0,0.0,666.0,663.0,0.4238567844543645,0.3273742865546089,0.3189026528151313
17017,-6.0,-6.0,1.0,2.0,1.0,0.0,706.0,678.0,0.4001359399439527,0.3246761085799171,0.3453216753002349
17026,1.0,4.0,4.0,7.0,2.0,1.0,673.0,709.0,0.27820392026015284,0.30675299491257724,0.48517680865137447
17028,3.0,2.0,6.0,5.0,2.0,1.0,706.0,692.0,0.4411477393360719,0.31814831912636626,0.31083766536166657
17029,28.0,0.0,9.0,3.0,3.0,0.0,758.0,673.0,0.6774221807934355,0.2199484898471952,0.17276305318347396
17030,-4.0,-6.0,4.0,2.0,1.0,1.0,690.0,668.0,0.4933492779641739,0.3076176806808144,0.2691667651791163
17032,2.0,-3.0,5.0,2.0,1.0,0.0,695.0,655.0,0.45583433536070633,0.31881351609681846,0.2954858723665799
17039,-3.0,4.0,4.0,5.0,1.0,2.0,695.0,714.0,0.3423985709682692,0.32093695647559634,0.40679819638023906
17040,-5.0,22.0,4.0,8.0,1.0,2.0,692.0,771.0,0.2472749045976383,0.2885894745354175,0.5342693446910489
17044,-3.0,-6.0,3.0,2.0,1.0,1.0,674.0,680.0,0.43743184890348735,0.31982039559180564,0.3128814793288116
17045,4.0,2.0,5.0,5.0,2.0,0.0,711.0,699.0,0.49389067179263435,0.3127010274296733,0.26354202460179693
