,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_home,games_against_away,home_team_overall_rating,away_team_overall_rating,odds_home,odds_draw,odds_away
8219,-6.0,-6.0,2.0,3.0,0.0,0.0,745.0,807.0,0.34063950425793477,0.28826979250766893,0.3710907032343962
8225,-9.0,25.0,2.0,9.0,0.0,2.0,802.0,892.0,0.11045462478804588,0.195104054273945,0.6944413209380091
8230,6.0,2.0,6.0,5.0,2.0,0.0,856.0,805.0,0.6025777538871854,0.22547139765719565,0.17195084845561898
8231,-4.0,1.0,3.0,4.0,2.0,1.0,844.0,826.0,0.41023953710356337,0.2764143026871132,0.3133461602093234
8235,-10.0,-6.0,1.0,3.0,1.0,0.0,771.0,818.0,0.39394002035441,0.2861165942738697,0.3199433853717203
8236,-11.0,-9.0,0.0,2.0,0.0,0.0,779.0,802.0,0.38147639042628484,0.28609543921676556,0.33242817035694966
8238,10.0,-7.0,5.0,2.0,0.0,0.0,883.0,734.0,0.7739086223697618,0.14440648103462664,0.08168489659561165
8247,23.0,11.0,8.0,5.0,0.0,3.0,924.0,900.0,0.511549246759621,0.2578586955426566,0.23059205769772237
8248,4.0,-3.0,5.0,4.0,1.0,2.0,857.0,818.0,0.6097364073498386,0.22228261894736007,0.16798097370280124
8250,-6.0,1.0,3.0,5.0,1.0,1.0,846.0,818.0,0.4643328346179342,0.2731360395475507,0.262531125834515
8253,-9.0,3.0,1.0,4.0,0.0,1.0,774.0,794.0,0.3626207639629957,0.2885374895040277,0.3488417465329768
8265,20.0,4.0,7.0,5.0,1.0,2.0,920.0,816.0,0.760528030895921,0.14972773623508556,0.08974423286899333
8269,0.0,-1.0,4.0,3.0,1.0,1.0,826.0,806.0,0.49009404864486206,0.26661271911553613,0.24329323223960184
8272,-9.0,-9.0,0.0,1.0,0.0,0.0,770.0,772.0,0.3884974802611829,0.29603958200333214,0.31546293773548484
8276,-14.0,2.0,1.0,4.0,2.0,1.0,826.0,822.0,0.3795495894764917,0.28658080108280554,0.3338696094407028
8278,4.0,5.0,5.0,5.0,2.0,0.0,800.0,794.0,0.44153794277671105,0.2853018962990358,0.27316016092425316
8280,2.0,-2.0,3.0,4.0,1.0,1.0,808.0,830.0,0.40229352489013215,0.28773723686338715,0.3099692382464808
8284,-10.0,-6.0,1.0,3.0,0.0,2.0,775.0,853.0,0.2643983138083854,0.2778123451324296,0.45778934105918506
8285,3.0,11.0,4.0,8.0,1.0,2.0,796.0,842.0,0.34055290431210167,0.28438885914134204,0.37505823654655635
8297,0.0,20.0,4.0,9.0,0.0,3.0,807.0,892.0,0.17352262638363578,0.24816996179732365,0.5783074118190406
8300,2.0,4.0,1.0,4.0,0.0,0.0,765.0,831.0,0.31536280016485513,0.29096435028008966,0.3936728495550553
8307,1.0,-8.0,4.0,1.0,0.0,2.0,846.0,775.0,0.5060847097272136,0.2751510426177679,0.2187642476550184
8311,5.0,8.0,4.0,6.0,1.0,0.0,826.0,844.0,0.2994003950267868,0.29042358050349243,0.4101760244697208
8314,0.0,0.0,5.0,3.0,2.0,1.0,808.0,806.0,0.49499163168910554,0.2711748271073237,0.23383354120357067
8316,-6.0,2.0,1.0,5.0,2.0,1.0,775.0,788.0,0.35517159366116324,0.29468439049763606,0.35014401584120064
8320,1.0,-12.0,4.0,1.0,0.0,2.0,810.0,854.0,0.4144049952371208,0.28381062919187483,0.3017843755710043
8323,1.0,-6.0,3.0,4.0,0.0,3.0,813.0,827.0,0.44190953452561255,0.278581222531726,0.2795092429426615
8328,3.0,11.0,3.0,6.0,0.0,2.0,808.0,887.0,0.1949410569720098,0.2517779556392475,0.5532809873887427
8329,-10.0,9.0,1.0,6.0,0.0,1.0,743.0,858.0,0.2246322156173211,0.26603482012505214,0.5093329642576269
8330,2.0,-3.0,4.0,3.0,1.0,0.0,810.0,849.0,0.45672667152845436,0.28143974635619096,0.2618335821153547
8332,-9.0,1.0,4.0,3.0,2.0,0.0,837.0,807.0,0.43506924295858224,0.2837592825636607,0.28117147447775714
8335,5.0,-3.0,5.0,4.0,1.0,1.0,809.0,817.0,0.45096715387865255,0.2768201605698241,0.27221268555152334
8342,1.0,2.0,3.0,4.0,0.0,2.0,804.0,811.0,0.36747793375731574,0.2943057018839147,0.33821636435876956
8343,2.0,3.0,4.0,4.0,0.0,1.0,774.0,793.0,0.3232101461192599,0.296192680088805,0.38059717379193503
8345,0.0,-10.0,5.0,1.0,1.0,0.0,840.0,744.0,0.5584368631247527,0.2530546512915908,0.18850848558365646
8349,2.0,-8.0,3.0,3.0,1.0,1.0,830.0,802.0,0.4117201130673707,0.28077980925940804,0.3075000776732212
